,tot,Eshell,Stretching,Bending,lj,Sub_units,hp,rates,rate,back_rate,type
0.0,6.162975822039155e-30,6.162975822039155e-30,6.162975822039155e-30,0.0,0.0,1,0.0,[0],0,[0],None
140.98836507464256,-8.399999999937785,-8.399999999937785,5.240132515129094e-11,9.814371537686384e-12,0.0,2,-8.4,"[0.0020294306361695177, 0.0020294306361694743, 0.0020294306361693377]",0.0020294306361694743,"[4.118588707023413e-06, 4.118588707023237e-06, 4.118588707022683e-06]",g
,tot,Eshell,Stretching,Bending,lj,Sub_units,hp,rates,rate,back_rate,type
0.0,6.162975822039155e-30,6.162975822039155e-30,6.162975822039155e-30,0.0,0.0,1,0.0,[0],0,[0],None
30.691063594704637,-8.399999999937807,-8.399999999937807,5.240132515129093e-11,9.79216707719388e-12,0.0,2,-8.4,"[0.0020294306361695177, 0.0020294306361694743, 0.0020294306361693377]",0.0020294306361695177,"[4.118588707023413e-06, 4.118588707023237e-06, 4.118588707022683e-06]",g
,tot,Eshell,Stretching,Bending,lj,Sub_units,hp,rates,rate,back_rate,type
0.0,6.162975822039155e-30,6.162975822039155e-30,6.162975822039155e-30,0.0,0.0,1,0.0,[0],0,[0],None
3.354555014307183,-8.399999999937718,-8.399999999937718,5.240132516583747e-11,9.880984919163893e-12,0.0,2,-8.4,"[0.0020294306361695177, 0.0020294306361694743, 0.0020294306361693377]",0.0020294306361693377,"[4.118588707023413e-06, 4.118588707023237e-06, 4.118588707022683e-06]",g
,tot,Eshell,Stretching,Bending,lj,Sub_units,hp,rates,rate,back_rate,type
0.0,6.162975822039155e-30,6.162975822039155e-30,6.162975822039155e-30,0.0,0.0,1,0.0,[0],0,[0],None
350.135193362261,-8.399999999937718,-8.399999999937718,5.240132516583747e-11,9.880984919163893e-12,0.0,2,-8.4,"[0.0020294306361695177, 0.0020294306361694743, 0.0020294306361693377]",0.0020294306361693377,"[4.118588707023413e-06, 4.118588707023237e-06, 4.118588707022683e-06]",g
,tot,Eshell,Stretching,Bending,lj,Sub_units,hp,rates,rate,back_rate,type
0.0,6.162975822039155e-30,6.162975822039155e-30,6.162975822039155e-30,0.0,0.0,1,0.0,[0],0,[0],None
70.76816408883779,-8.399999999937718,-8.399999999937718,5.240132516583747e-11,9.880984919163893e-12,0.0,2,-8.4,"[0.0020294306361695177, 0.0020294306361694743, 0.0020294306361693377]",0.0020294306361693377,"[4.118588707023413e-06, 4.118588707023237e-06, 4.118588707022683e-06]",g
70.98056557233345,1.605390619203068e-13,1.605390619203068e-13,1.605390619203068e-13,0.0,0.0,1,0.0,"[1, 1]",1,"[492.74904112386685, 492.7490411238992]",d
131.18932785969727,-8.399999999937785,-8.399999999937785,5.24012642813541e-11,9.814371537686384e-12,0.0,2,-8.4,"[0.0020294306361697523, 0.002029430636169799, 0.002029430636169799]",0.002029430636169799,"[4.118588707024365e-06, 4.118588707024556e-06, 4.118588707024556e-06]",g
131.53855678506378,1.605394575742072e-13,1.605394575742072e-13,1.605394575742072e-13,0.0,0.0,1,0.0,"[1, 1]",1,"[492.7490411238336, 492.74904112386594]",d
132.14182161487827,-8.399999999937785,-8.399999999937785,5.240126434903545e-11,9.814371537686384e-12,0.0,2,-8.4,"[0.002029430636169709, 0.002029430636169799, 0.002029430636169799]",0.002029430636169799,"[4.11858870702419e-06, 4.118588707024556e-06, 4.118588707024556e-06]",g
132.609410138812,1.6053945757420721e-13,1.6053945757420721e-13,1.6053945757420721e-13,0.0,0.0,1,0.0,"[1, 1]",1,"[492.7490411238336, 492.74904112386594]",d
330.97406144354215,-8.399999999937785,-8.399999999937785,5.24012642767327e-11,9.814371537686384e-12,0.0,2,-8.4,"[0.002029430636169799, 0.002029430636169799, 0.0020294306361697523]",0.002029430636169799,"[4.118588707024556e-06, 4.118588707024556e-06, 4.118588707024365e-06]",g
331.09525986287224,-20.999999999851624,-20.999999999851624,9.976848296922851e-11,4.8605564018089353e-11,0.0,3,-21.0,"[0.13533528322495214, 0.13533528322494925, 0.13533528322493435, 0.13533528322494348]",0.13533528322495214,"[0.018315638885578012, 0.018315638885577232, 0.018315638885573197, 0.018315638885575667]",g
331.2056008093097,-37.799999999863516,-37.799999999863516,1.2023258762303095e-10,1.6253665080512292e-11,0.0,4,-37.800000000000004,"[1, 0.13533528325102562, 1, 1, 0.13533528325101696]",1,"[9.025013499541446, 0.018315638892635336, 9.025013497981183, 9.025013497981567, 0.01831563889263299]",g
331.30100285422594,-54.59999999972194,-54.59999999972194,1.404173595578249e-10,1.376454505930269e-10,0.0,5,-54.6,"[1, 1, 1, 1, 1, 1]",1,"[9.025013498156376, 9.025013498156568, 9.025013498156953, 9.025013498157017, 9.025013498157467, 9.02501349815689]",g
331.8789747670843,-75.5999999995825,-75.5999999995825,6.002438576820502e-11,3.574918139293004e-10,0.0,6,-75.60000000000001,"[1, 1, 1, 1, 1, 1, 0.13533528316810747]",1,"[601.8450377881586, 9.025013499160085, 9.025013495679808, 9.025013498024531, 223.54576522443494, 221.5029341957625, 0.018315638870191834]",g
331.93357696343526,-95.59107793487301,-95.59107793487301,0.3986923387659688,0.28956898102183715,0.3206607453391907,7,-96.60000000000001,"[1, 1, 1, 1, 1, 1, 1, 1]",1,"[219.43980001589873, 9.025013499324698, 9.025013499326366, 219.43980001589247, 219.4398000158457, 9.025013499325981, 9.025013499325084, 219.4398000158769]",g
332.0439286875878,-100.33980125473343,-100.33980125473343,0.29924395751479943,0.16095478775177696,0.0,7,-100.80000000000001,[1],1,[115.43681452272712],vc
