#nthItr:0
#FPT:334.989522
#vertex:12
,x,y,z,l,t,edge
23,10,6,8,45
24,6,9,8,-20
25,6,11,9,-44
26,11,1,9,34
27,1,6,9,-11
28,4,12,10,-38
29,12,7,10,48
30,7,4,10,-13
31,7,9,11,51
32,9,5,11,19
33,5,7,11,-14
34,1,11,12,-26
35,11,8,12,54
36,8,1,12,-16
37,8,12,13,57
38,12,4,13,28
39,4,8,13,-17
40,9,13,14,-50
41,13,10,14,60
42,10,9,14,-22
43,10,11,15,63
44,11,6,15,25
45,6,10,15,-23
46,12,13,16,66
47,13,7,16,49
48,7,12,16,-29
49,7,13,17,-47
50,13,9,17,40
51,9,7,17,-31
52,11,14,18,-62
53,14,8,18,55
54,8,11,18,-35
55,8,14,19,-53
56,14,12,19,64
57,12,8,19,-37
58,13,14,20,-65
59,14,10,20,61
60,10,13,20,-41
61,10,14,21,-59
62,14,11,21,52
63,11,10,21,-43
64,12,14,22,-56
65,14,13,22,58
66,13,12,22,-46
#triangle:20
,v0,v1,v2,l0,l1,l2,edge
3,4,5,1,7,8,9,0
4,5,6,1,10,11,12,0
5,4,7,5,13,14,15,0
6,1,8,4,16,17,18,0
7,5,9,6,19,20,21,0
8,9,10,6,22,23,24,0
9,6,11,1,25,26,27,0
10,4,12,7,28,29,30,0
11,7,9,5,31,32,33,0
12,1,11,8,34,35,36,0
13,8,12,4,37,38,39,0
14,9,13,10,40,41,42,0
15,10,11,6,43,44,45,0
16,12,13,7,46,47,48,0
17,7,13,9,49,50,51,0
18,11,14,8,52,53,54,0
19,8,14,12,55,56,57,0
20,13,14,10,58,59,60,0
21,10,14,11,61,62,63,0
22,12,14,13,64,65,66,0
